datetime,PM2_5,locationId,PM10
2020-01-19 11:25:15,5.22,24446,8.46
2020-01-19 11:25:40,4.65,24492,8.09
2020-01-19 11:25:51,5.18,24486,6.86
2020-01-19 11:26:09,5.0,24813,5.0
2020-01-19 11:27:13,7.42,24009,11.06
2020-01-20 11:32:42,1.2,24492,2.35
2020-01-20 11:32:47,1.54,24446,4.76
2020-01-20 11:33:13,8.59,24503,9.41
2020-01-20 11:34:09,2.21,24009,3.72
2020-01-20 11:41:29,2.12,24009,3.44
2020-01-20 11:42:32,1.13,24492,1.95
2020-01-20 11:42:34,1.35,24446,2.54
2020-01-20 11:43:02,8.5,24503,9.34
2020-01-20 11:47:27,1.27,24492,1.54
2020-01-20 11:47:27,1.54,24446,3.72
2020-01-20 11:47:56,8.48,24503,9.32
2020-01-20 11:48:48,2.42,24009,4.7
